iter	Passed	Remaining
253	1646	4836
254	1648	4816
255	1650	4796
256	1652	4777
257	1654	4758
258	1656	4738
259	1658	4719
260	1661	4703
261	1663	4685
262	1665	4666
263	1667	4648
264	1669	4629
265	1671	4612
266	1675	4599
267	1677	4581
268	1679	4563
269	1681	4545
270	1683	4529
271	1686	4513
272	1689	4499
273	1691	4482
274	1695	4468
275	1697	4454
276	1700	4438
277	1702	4422
278	1708	4414
279	1711	4401
280	1716	4390
281	1723	4387
282	1725	4372
283	1728	4357
284	1730	4342
285	1733	4327
286	1737	4316
287	1741	4305
288	1745	4294
289	1749	4282
290	1751	4266
291	1752	4250
292	1754	4234
293	1756	4218
294	1760	4208
295	1762	4192
296	1764	4177
297	1766	4161
298	1768	4145
299	1770	4130
300	1772	4115
301	1775	4103
302	1777	4088
303	1780	4075
304	1781	4060
305	1783	4045
306	1785	4031
307	1790	4021
308	1792	4007
309	1793	3992
310	1795	3977
311	1797	3963
312	1799	3949
313	1801	3935
314	1803	3921
315	1805	3908
316	1807	3894
317	1809	3881
318	1811	3868
319	1813	3854
320	1817	3844
321	1819	3831
322	1821	3817
323	1823	3804
324	1825	3790
325	1827	3777
326	1829	3765
327	1831	3752
328	1833	3739
329	1835	3725
330	1836	3712
331	1838	3699
332	1840	3687
333	1844	3678
334	1846	3665
335	1848	3652
336	1850	3640
337	1851	3627
338	1853	3614
339	1855	3602
340	1859	3593
341	1861	3582
342	1864	3570
343	1865	3558
344	1867	3545
345	1869	3534
346	1873	3525
347	1875	3513
348	1877	3502
349	1880	3491
350	1882	3480
351	1887	3474
352	1889	3464
353	1892	3452
354	1894	3441
355	1896	3430
356	1901	3424
357	1904	3414
358	1906	3403
359	1907	3391
360	1909	3380
361	1911	3369
362	1915	3360
363	1917	3350
364	1919	3339
365	1922	3329
366	1924	3318
367	1926	3307
368	1929	3299
369	1931	3288
370	1933	3277
371	1935	3267
372	1937	3256
373	1939	3245
374	1941	3235
375	1944	3226
376	1945	3215
377	1948	3205
378	1949	3194
379	1951	3184
380	1953	3173
381	1956	3164
382	1958	3155
383	1960	3145
384	1962	3134
385	1964	3125
386	1967	3116
387	1972	3111
388	1975	3102
389	1977	3092
390	1979	3083
391	1981	3073
392	1984	3064
393	1986	3055
394	1989	3046
395	1991	3036
396	1992	3027
397	1994	3017
